sequence,clusterID
Sequence_113,0
Sequence_112,1
Sequence_130,2
Sequence_152,3
Sequence_36,4
Sequence_38,5
Sequence_210,6
Sequence_73,7
Sequence_79,8
Sequence_196,9
Sequence_140,10
Sequence_220,11
Sequence_74,12
Sequence_199,11
Sequence_24,13
Sequence_27,13
Sequence_34,14
Sequence_227,15
Sequence_99,16
Sequence_208,17
Sequence_170,18
Sequence_82,19
Sequence_229,20
Sequence_150,21
Sequence_228,22
Sequence_85,23
Sequence_159,18
Sequence_114,24
Sequence_163,25
Sequence_84,19
Sequence_98,12
Sequence_54,7
Sequence_138,12
Sequence_162,26
Sequence_202,27
Sequence_76,28
Sequence_83,29
Sequence_4,30
Sequence_55,19
Sequence_219,31
Sequence_11,32
Sequence_14,33
Sequence_50,2
Sequence_207,34
Sequence_145,11
Sequence_61,12
Sequence_51,13
Sequence_141,35
Sequence_173,36
Sequence_42,13
Sequence_143,37
Sequence_183,38
Sequence_39,12
Sequence_192,39
Sequence_19,22
Sequence_101,40
Sequence_226,11
Sequence_58,20
Sequence_8,41
Sequence_135,42
Sequence_18,43
Sequence_153,1
Sequence_160,20
Sequence_119,11
Sequence_147,44
Sequence_169,38
Sequence_128,45
Sequence_142,46
Sequence_186,47
Sequence_111,48
Sequence_195,49
Sequence_49,13
Sequence_214,50
Sequence_136,18
Sequence_115,25
Sequence_185,51
Sequence_29,52
Sequence_127,12
Sequence_216,53
Sequence_37,12
Sequence_234,54
Sequence_122,20
Sequence_243,18
Sequence_174,55
Sequence_194,12
Sequence_22,56
Sequence_70,57
Sequence_108,58
Sequence_132,20
Sequence_88,59
Sequence_96,60
Sequence_148,12
Sequence_211,18
Sequence_198,11
Sequence_17,20
Sequence_89,12
Sequence_123,61
Sequence_158,62
Sequence_126,63
Sequence_71,12
Sequence_149,64
Sequence_13,65
Sequence_134,36
Sequence_66,66
Sequence_44,67
Sequence_129,68
Sequence_16,69
Sequence_137,70
Sequence_30,71
Sequence_241,72
Sequence_67,18
Sequence_75,18
Sequence_200,73
Sequence_223,74
Sequence_155,75
Sequence_103,76
Sequence_171,77
Sequence_32,13
Sequence_53,70
Sequence_175,18
Sequence_233,78
Sequence_102,7
Sequence_157,11
Sequence_124,79
Sequence_231,80
Sequence_203,81
Sequence_212,62
Sequence_172,82
Sequence_3,83
Sequence_63,84
Sequence_184,18
Sequence_209,85
Sequence_118,11
Sequence_181,12
Sequence_15,86
Sequence_6,87
Sequence_43,74
Sequence_168,88
Sequence_28,12
Sequence_52,89
Sequence_69,40
Sequence_40,11
Sequence_154,90
Sequence_177,83
Sequence_46,52
Sequence_9,91
Sequence_193,92
Sequence_41,3
Sequence_92,13
Sequence_213,20
Sequence_20,36
Sequence_151,23
Sequence_205,14
Sequence_116,93
Sequence_225,94
Sequence_81,13
Sequence_236,95
Sequence_86,3
Sequence_176,6
Sequence_31,96
Sequence_224,97
Sequence_2,12
Sequence_131,98
Sequence_133,36
Sequence_7,99
Sequence_94,12
Sequence_144,100
Sequence_165,12
Sequence_189,11
Sequence_201,16
Sequence_235,101
Sequence_72,20
Sequence_5,102
Sequence_60,28
Sequence_64,12
Sequence_87,16
Sequence_107,38
Sequence_97,103
Sequence_178,104
Sequence_77,105
Sequence_120,16
Sequence_10,20
Sequence_156,13
Sequence_121,18
Sequence_146,36
Sequence_188,66
Sequence_238,106
Sequence_12,107
Sequence_244,12
Sequence_167,18
Sequence_35,11
Sequence_104,11
Sequence_217,108
Sequence_95,52
Sequence_239,109
Sequence_78,65
Sequence_218,20
Sequence_125,110
Sequence_232,111
Sequence_47,112
Sequence_246,6
Sequence_242,12
Sequence_68,113
Sequence_180,21
Sequence_93,114
Sequence_215,115
Sequence_91,40
Sequence_139,116
Sequence_204,117
Sequence_221,16
Sequence_105,36
Sequence_117,118
Sequence_222,119
Sequence_245,120
Sequence_161,20
Sequence_179,121
Sequence_110,114
Sequence_191,18
Sequence_90,40
Sequence_21,122
Sequence_164,12
Sequence_106,123
Sequence_59,124
Sequence_230,125
Sequence_100,126
Sequence_65,127
Sequence_237,128
Sequence_240,129
Sequence_48,74
Sequence_80,19
Sequence_45,4
Sequence_26,7
Sequence_1,12
Sequence_57,19
Sequence_190,130
Sequence_109,131
Sequence_182,132
Sequence_187,20
Sequence_56,12
Sequence_23,20
Sequence_25,11
Sequence_62,12
Sequence_166,52
Sequence_206,126
Sequence_33,133
Sequence_197,18
