sequence,clusterID
Sequence_78,0
Sequence_114,1
Sequence_59,2
Sequence_138,3
Sequence_209,4
Sequence_161,5
Sequence_228,6
Sequence_43,7
Sequence_124,8
Sequence_82,9
Sequence_130,10
Sequence_232,11
Sequence_180,12
Sequence_152,13
Sequence_8,14
Sequence_101,15
Sequence_9,16
Sequence_93,17
Sequence_192,18
Sequence_63,19
Sequence_159,20
Sequence_48,7
Sequence_117,21
Sequence_122,5
Sequence_178,22
Sequence_194,23
Sequence_165,24
Sequence_204,25
Sequence_154,26
Sequence_164,27
Sequence_133,28
Sequence_134,29
Sequence_211,30
Sequence_199,31
Sequence_18,32
Sequence_95,33
Sequence_172,34
Sequence_103,35
Sequence_213,5
Sequence_225,36
Sequence_235,37
Sequence_38,38
Sequence_120,39
Sequence_39,24
Sequence_116,40
Sequence_80,9
Sequence_208,41
Sequence_61,24
Sequence_96,42
Sequence_111,43
Sequence_242,44
Sequence_147,45
Sequence_175,46
Sequence_129,47
Sequence_70,48
Sequence_74,49
Sequence_139,50
Sequence_123,51
Sequence_241,52
Sequence_136,53
Sequence_10,5
Sequence_226,54
Sequence_179,55
Sequence_236,56
Sequence_105,57
Sequence_45,58
Sequence_50,10
Sequence_113,59
Sequence_126,60
Sequence_79,61
Sequence_186,62
Sequence_240,63
Sequence_32,64
Sequence_222,65
Sequence_81,66
Sequence_106,67
Sequence_131,68
Sequence_84,9
Sequence_36,69
Sequence_100,70
Sequence_135,71
Sequence_173,29
Sequence_83,72
Sequence_69,73
Sequence_234,74
Sequence_149,75
Sequence_109,76
Sequence_77,77
Sequence_102,78
Sequence_153,79
Sequence_170,80
Sequence_47,81
Sequence_169,82
Sequence_190,83
Sequence_68,84
Sequence_200,85
Sequence_66,86
Sequence_42,87
Sequence_184,88
Sequence_44,89
Sequence_231,90
Sequence_87,39
Sequence_218,5
Sequence_233,91
Sequence_97,92
Sequence_119,93
Sequence_85,94
Sequence_125,95
Sequence_86,13
Sequence_6,96
Sequence_171,97
Sequence_207,98
Sequence_90,15
Sequence_205,99
Sequence_34,100
Sequence_223,7
Sequence_64,49
Sequence_49,66
Sequence_25,101
Sequence_121,102
Sequence_187,5
Sequence_118,103
Sequence_174,104
Sequence_21,105
Sequence_176,106
Sequence_54,107
Sequence_75,108
Sequence_221,109
Sequence_237,110
Sequence_62,111
Sequence_203,112
Sequence_73,113
Sequence_246,114
Sequence_202,115
Sequence_94,116
Sequence_12,117
Sequence_206,118
Sequence_168,119
Sequence_2,120
Sequence_89,24
Sequence_150,121
Sequence_53,122
Sequence_143,123
Sequence_219,124
Sequence_91,15
Sequence_127,23
Sequence_193,125
Sequence_29,126
Sequence_17,5
Sequence_227,127
Sequence_16,128
Sequence_4,129
Sequence_104,93
Sequence_28,130
Sequence_188,86
Sequence_52,131
Sequence_157,132
Sequence_57,133
Sequence_71,130
Sequence_216,134
Sequence_195,135
Sequence_142,136
Sequence_112,137
Sequence_166,126
Sequence_24,138
Sequence_137,139
Sequence_183,140
Sequence_239,141
Sequence_224,142
Sequence_76,143
Sequence_146,144
Sequence_185,145
Sequence_14,146
Sequence_11,147
Sequence_92,148
Sequence_181,149
Sequence_27,150
Sequence_22,151
Sequence_55,133
Sequence_177,152
Sequence_1,153
Sequence_140,154
Sequence_144,155
Sequence_220,93
Sequence_244,156
Sequence_23,5
Sequence_41,13
Sequence_210,114
Sequence_30,157
Sequence_151,94
Sequence_230,158
Sequence_212,159
Sequence_7,160
Sequence_108,161
Sequence_40,31
Sequence_128,162
Sequence_201,39
Sequence_65,163
Sequence_60,164
Sequence_145,165
Sequence_243,166
Sequence_214,167
Sequence_15,168
Sequence_163,169
Sequence_51,66
Sequence_158,170
Sequence_141,171
Sequence_198,172
Sequence_160,5
Sequence_189,31
Sequence_88,173
Sequence_107,82
Sequence_148,149
Sequence_155,174
Sequence_238,175
Sequence_46,33
Sequence_98,149
Sequence_13,0
Sequence_19,6
Sequence_99,176
Sequence_67,177
Sequence_156,178
Sequence_245,179
Sequence_72,5
Sequence_20,57
Sequence_182,180
Sequence_35,181
Sequence_3,182
Sequence_196,183
Sequence_26,184
Sequence_197,185
Sequence_229,5
Sequence_33,186
Sequence_115,187
Sequence_167,188
Sequence_191,189
Sequence_132,5
Sequence_162,190
Sequence_215,191
Sequence_37,156
Sequence_58,5
Sequence_56,24
Sequence_110,192
Sequence_217,193
Sequence_31,194
Sequence_5,195
