sequence,clusterID
Sequence_78,0
Sequence_114,1
Sequence_59,2
Sequence_138,3
Sequence_209,4
Sequence_161,5
Sequence_228,6
Sequence_43,7
Sequence_124,8
Sequence_82,9
Sequence_130,10
Sequence_232,11
Sequence_180,12
Sequence_152,13
Sequence_8,14
Sequence_101,15
Sequence_9,16
Sequence_93,17
Sequence_192,18
Sequence_63,19
Sequence_159,20
Sequence_48,21
Sequence_117,22
Sequence_122,23
Sequence_178,24
Sequence_194,25
Sequence_165,26
Sequence_204,27
Sequence_154,28
Sequence_164,29
Sequence_133,30
Sequence_134,31
Sequence_211,32
Sequence_199,33
Sequence_18,34
Sequence_95,35
Sequence_172,36
Sequence_103,37
Sequence_213,38
Sequence_225,39
Sequence_235,40
Sequence_38,41
Sequence_120,42
Sequence_39,43
Sequence_116,44
Sequence_80,45
Sequence_208,46
Sequence_61,47
Sequence_96,48
Sequence_111,49
Sequence_242,50
Sequence_147,51
Sequence_175,52
Sequence_129,53
Sequence_70,54
Sequence_74,55
Sequence_139,56
Sequence_123,57
Sequence_241,58
Sequence_136,59
Sequence_10,60
Sequence_226,61
Sequence_179,62
Sequence_236,63
Sequence_105,64
Sequence_45,65
Sequence_50,66
Sequence_113,67
Sequence_126,68
Sequence_79,69
Sequence_186,70
Sequence_240,71
Sequence_32,72
Sequence_222,73
Sequence_81,74
Sequence_106,75
Sequence_131,76
Sequence_84,77
Sequence_36,78
Sequence_100,79
Sequence_135,80
Sequence_173,81
Sequence_83,82
Sequence_69,83
Sequence_234,84
Sequence_149,85
Sequence_109,86
Sequence_77,87
Sequence_102,88
Sequence_153,89
Sequence_170,90
Sequence_47,91
Sequence_169,92
Sequence_190,93
Sequence_68,94
Sequence_200,95
Sequence_66,96
Sequence_42,97
Sequence_184,98
Sequence_44,99
Sequence_231,100
Sequence_87,101
Sequence_218,102
Sequence_233,103
Sequence_97,104
Sequence_119,105
Sequence_85,106
Sequence_125,107
Sequence_86,108
Sequence_6,109
Sequence_171,110
Sequence_207,111
Sequence_90,112
Sequence_205,113
Sequence_34,114
Sequence_223,115
Sequence_64,116
Sequence_49,117
Sequence_25,118
Sequence_121,119
Sequence_187,120
Sequence_118,121
Sequence_174,122
Sequence_21,123
Sequence_176,124
Sequence_54,125
Sequence_75,126
Sequence_221,127
Sequence_237,128
Sequence_62,129
Sequence_203,130
Sequence_73,131
Sequence_246,132
Sequence_202,133
Sequence_94,134
Sequence_12,135
Sequence_206,136
Sequence_168,137
Sequence_2,138
Sequence_89,139
Sequence_150,140
Sequence_53,141
Sequence_143,142
Sequence_219,143
Sequence_91,144
Sequence_127,145
Sequence_193,146
Sequence_29,147
Sequence_17,148
Sequence_227,149
Sequence_16,150
Sequence_4,151
Sequence_104,152
Sequence_28,153
Sequence_188,154
Sequence_52,155
Sequence_157,156
Sequence_57,157
Sequence_71,158
Sequence_216,159
Sequence_195,160
Sequence_142,161
Sequence_112,162
Sequence_166,163
Sequence_24,164
Sequence_137,165
Sequence_183,166
Sequence_239,167
Sequence_224,168
Sequence_76,169
Sequence_146,170
Sequence_185,171
Sequence_14,172
Sequence_11,173
Sequence_92,174
Sequence_181,175
Sequence_27,176
Sequence_22,177
Sequence_55,178
Sequence_177,179
Sequence_1,180
Sequence_140,181
Sequence_144,182
Sequence_220,183
Sequence_244,184
Sequence_23,185
Sequence_41,186
Sequence_210,187
Sequence_30,188
Sequence_151,189
Sequence_230,190
Sequence_212,191
Sequence_7,192
Sequence_108,193
Sequence_40,194
Sequence_128,195
Sequence_201,196
Sequence_65,197
Sequence_60,198
Sequence_145,199
Sequence_243,200
Sequence_214,201
Sequence_15,202
Sequence_163,203
Sequence_51,204
Sequence_158,205
Sequence_141,206
Sequence_198,207
Sequence_160,208
Sequence_189,209
Sequence_88,210
Sequence_107,211
Sequence_148,212
Sequence_155,213
Sequence_238,214
Sequence_46,215
Sequence_98,216
Sequence_13,217
Sequence_19,218
Sequence_99,219
Sequence_67,220
Sequence_156,221
Sequence_245,222
Sequence_72,223
Sequence_20,224
Sequence_182,225
Sequence_35,226
Sequence_3,227
Sequence_196,228
Sequence_26,229
Sequence_197,230
Sequence_229,231
Sequence_33,232
Sequence_115,233
Sequence_167,234
Sequence_191,235
Sequence_132,236
Sequence_162,237
Sequence_215,238
Sequence_37,239
Sequence_58,240
Sequence_56,241
Sequence_110,242
Sequence_217,243
Sequence_31,244
Sequence_5,245
