sequence,clusterID
Sequence_78,0
Sequence_114,1
Sequence_59,0
Sequence_138,2
Sequence_209,3
Sequence_161,3
Sequence_228,4
Sequence_43,5
Sequence_124,4
Sequence_82,1
Sequence_130,1
Sequence_232,1
Sequence_180,1
Sequence_152,2
Sequence_8,1
Sequence_101,4
Sequence_9,1
Sequence_93,2
Sequence_192,4
Sequence_63,0
Sequence_159,1
Sequence_48,3
Sequence_117,1
Sequence_122,3
Sequence_178,1
Sequence_194,3
Sequence_165,3
Sequence_204,2
Sequence_154,0
Sequence_164,2
Sequence_133,2
Sequence_134,6
Sequence_211,1
Sequence_199,5
Sequence_18,1
Sequence_95,4
Sequence_172,2
Sequence_103,1
Sequence_213,3
Sequence_225,3
Sequence_235,3
Sequence_38,0
Sequence_120,1
Sequence_39,1
Sequence_116,2
Sequence_80,0
Sequence_208,2
Sequence_61,1
Sequence_96,5
Sequence_111,3
Sequence_242,1
Sequence_147,2
Sequence_175,2
Sequence_129,1
Sequence_70,3
Sequence_74,2
Sequence_139,4
Sequence_123,3
Sequence_241,0
Sequence_136,4
Sequence_10,3
Sequence_226,5
Sequence_179,1
Sequence_236,1
Sequence_105,7
Sequence_45,1
Sequence_50,1
Sequence_113,0
Sequence_126,1
Sequence_79,5
Sequence_186,2
Sequence_240,2
Sequence_32,2
Sequence_222,0
Sequence_81,4
Sequence_106,2
Sequence_131,2
Sequence_84,0
Sequence_36,2
Sequence_100,3
Sequence_135,2
Sequence_173,8
Sequence_83,0
Sequence_69,4
Sequence_234,0
Sequence_149,5
Sequence_109,1
Sequence_77,0
Sequence_102,2
Sequence_153,1
Sequence_170,2
Sequence_47,0
Sequence_169,2
Sequence_190,1
Sequence_68,1
Sequence_200,3
Sequence_66,2
Sequence_42,2
Sequence_184,1
Sequence_44,1
Sequence_231,1
Sequence_87,1
Sequence_218,3
Sequence_233,2
Sequence_97,1
Sequence_119,5
Sequence_85,0
Sequence_125,1
Sequence_86,2
Sequence_6,0
Sequence_171,0
Sequence_207,1
Sequence_90,4
Sequence_205,1
Sequence_34,5
Sequence_223,9
Sequence_64,0
Sequence_49,2
Sequence_25,5
Sequence_121,5
Sequence_187,3
Sequence_118,5
Sequence_174,2
Sequence_21,2
Sequence_176,3
Sequence_54,1
Sequence_75,5
Sequence_221,1
Sequence_237,2
Sequence_62,1
Sequence_203,2
Sequence_73,1
Sequence_246,3
Sequence_202,3
Sequence_94,1
Sequence_12,1
Sequence_206,3
Sequence_168,2
Sequence_2,1
Sequence_89,1
Sequence_150,1
Sequence_53,5
Sequence_143,2
Sequence_219,1
Sequence_91,5
Sequence_127,3
Sequence_193,3
Sequence_29,1
Sequence_17,2
Sequence_227,2
Sequence_16,5
Sequence_4,1
Sequence_104,5
Sequence_28,4
Sequence_188,2
Sequence_52,1
Sequence_157,5
Sequence_57,0
Sequence_71,0
Sequence_216,1
Sequence_195,1
Sequence_142,5
Sequence_112,3
Sequence_166,1
Sequence_24,4
Sequence_137,2
Sequence_183,1
Sequence_239,1
Sequence_224,3
Sequence_76,2
Sequence_146,2
Sequence_185,5
Sequence_14,5
Sequence_11,3
Sequence_92,4
Sequence_181,1
Sequence_27,2
Sequence_22,3
Sequence_55,0
Sequence_177,5
Sequence_1,1
Sequence_140,1
Sequence_144,2
Sequence_220,5
Sequence_244,1
Sequence_23,1
Sequence_41,2
Sequence_210,3
Sequence_30,1
Sequence_151,0
Sequence_230,1
Sequence_212,0
Sequence_7,2
Sequence_108,1
Sequence_40,5
Sequence_128,2
Sequence_201,1
Sequence_65,5
Sequence_60,4
Sequence_145,5
Sequence_243,2
Sequence_214,3
Sequence_15,2
Sequence_163,2
Sequence_51,4
Sequence_158,0
Sequence_141,4
Sequence_198,5
Sequence_160,3
Sequence_189,5
Sequence_88,3
Sequence_107,2
Sequence_148,1
Sequence_155,4
Sequence_238,0
Sequence_46,5
Sequence_98,1
Sequence_13,0
Sequence_19,4
Sequence_99,1
Sequence_67,4
Sequence_156,4
Sequence_245,4
Sequence_72,1
Sequence_20,10
Sequence_182,5
Sequence_35,5
Sequence_3,4
Sequence_196,1
Sequence_26,2
Sequence_197,2
Sequence_229,1
Sequence_33,1
Sequence_115,5
Sequence_167,5
Sequence_191,5
Sequence_132,1
Sequence_162,1
Sequence_215,1
Sequence_37,1
Sequence_58,1
Sequence_56,1
Sequence_110,1
Sequence_217,2
Sequence_31,0
Sequence_5,0
